,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_176,45.5,3.838999999999942,0,2515,0,0,0,40560,63984,153984714,104558650,25705360,270773,52324277,1355929,398385,959
run_177,45.900000000001455,3.865000000000009,0,2450,0,0,0,40925,63664,149928672,110553227,28104394,276894,52592351,1220944,422148,2204
run_178,49.07999999999993,0.07200000000000273,0,2517,0,0,1,40406,64158,154112324,114538427,29364324,283895,52590083,1302451,443883,735
run_179,49.63999999999942,0.0,0,2450,0,0,0,40544,63888,163718978,116024871,30338767,286472,52869599,940498,517761,997
run_180,49.26000000000022,0.0,0,2528,0,0,0,40376,64358,156096625,107364687,26475376,268343,52159228,1266237,410777,682
run_181,49.36000000000058,0.0,0,2453,0,0,0,40515,63790,152146004,114011944,29058346,282527,52774963,1105512,467698,908
run_182,49.44999999999891,0.0,0,2449,0,0,0,40639,63710,161227327,114794661,30126475,283154,53013223,1021193,518753,593
run_183,45.350000000000364,3.7619999999999436,0,2498,0,0,0,40348,62868,156450479,106616227,26467855,264808,52303996,1480361,380947,844
run_184,45.26000000000022,4.076999999999998,0,2516,0,0,0,40556,64110,152663126,114027447,29030798,287651,52611345,1118974,474124,842
run_185,45.38999999999942,4.086000000000013,0,2446,0,0,1,40597,63276,162309452,115204002,30038498,286624,52884074,1012898,517173,418
run_186,49.55000000000109,0.0,0,2454,0,0,0,40617,64238,153833940,105863800,26180512,270006,52455178,1357714,400107,1080
run_187,49.58999999999833,0.0,0,2519,0,0,0,40729,64318,152306845,110298002,27918364,274020,52642835,1234194,439306,718
run_188,45.26000000000022,4.060000000000059,0,2457,0,0,0,40373,63830,155730315,114862895,29324943,284116,52465694,1035626,480638,575
run_189,45.52000000000044,3.844000000000051,0,2522,0,0,0,40435,64284,155806686,103171907,25163109,262684,52172591,1344846,380222,684
run_190,45.27000000000044,4.0779999999999745,0,2446,0,0,0,40571,63510,153389804,109036952,27409585,272577,52752199,1266791,432360,780
run_191,49.61000000000058,0.10300000000006548,0,2433,0,0,1,40856,62752,151344612,112999889,29018775,284662,52973998,1153709,464643,601
run_192,49.350000000000364,0.08599999999989905,0,2453,0,0,0,40604,64176,158377057,114703229,29763135,284799,52674685,1258865,462036,400
run_193,49.469999999999345,0.0,0,2441,0,0,0,40613,62960,154612206,105269638,26060870,267704,52406007,1357058,393137,603
run_194,49.350000000000364,0.0,0,2522,0,0,0,40523,64494,152134535,110846044,27966491,277902,52586955,1206286,447747,533
run_195,45.149999999999636,4.031000000000063,0,2454,0,0,0,40350,64308,155872461,114862987,29580546,284877,52638572,1020493,493391,537
run_196,41.76999999999862,7.859000000000037,0,2445,0,0,0,40752,63278,154015583,104311423,25874324,265514,52300611,1352918,381403,1179
run_197,49.32999999999993,0.08299999999996999,0,2534,0,0,1,40679,64870,159578476,110356049,26756314,265975,52016734,1393238,385069,402
run_198,50.25,0.13900000000001,0,2510,0,0,1,41460,63590,151044118,112369838,29317536,282661,53049390,1139279,453475,666
run_199,50.19000000000051,0.1330000000000382,0,2431,0,0,0,41363,62402,152752439,113783840,29581424,297901,53109776,1127914,465701,523
run_200,45.45999999999913,4.090000000000032,0,2515,0,0,0,40664,64188,158206981,114876391,29962143,288874,52927280,1021710,514339,471
run_201,49.2599999999984,0.0,0,2446,0,0,0,40469,63260,154061785,105525530,26017503,266287,52462414,1350918,403670,421
run_202,48.779999999998836,0.0,0,2454,0,0,0,39950,64258,154501260,111642555,28118168,280100,52278462,1389039,419981,329
run_203,49.470000000001164,0.0,0,2518,0,0,0,40602,64262,164076439,115573613,30235822,287639,52912278,961022,522900,396
run_204,49.210000000000946,0.0,0,2448,0,0,0,40330,63524,155422285,106987801,26557164,263026,52240137,1265896,407991,950
